Track ID,First Frame,Last Frame,Total Frames,Dwell Time (s)
2,1,2351,2248,157.28906848149725
17,1,2351,2351,157.28906848149725
4,1,2235,2233,149.5250123351765
184,285,1730,1423,96.71604423649511
330,741,2067,1153,88.7511935346661
179,265,1583,1251,88.21574138664398
601,1396,2325,892,62.17938068906848
25,20,825,789,53.87987239472565
214,359,1048,635,46.11581624840493
132,184,826,625,42.97003487877499
221,383,954,437,38.21789706507869
506,1215,1713,424,33.33189621437686
514,1221,1711,469,32.796444066354745
826,1879,2351,445,31.59167673330498
690,1632,2083,349,30.186114844746918
842,1902,2351,446,30.05225180774139
847,1905,2351,446,29.851457252233093
478,1135,1568,326,28.98134751169715
498,1199,1623,409,28.37896384517227
345,766,1174,382,27.308059549128032
891,1945,2351,292,27.174196512122503
890,1945,2351,308,27.174196512122503
487,1147,1549,403,26.90647043811144
3,1,399,390,26.638744364100383
633,1500,1898,374,26.638744364100383
449,1007,1383,313,25.16625095703956
350,777,1151,314,25.03238792003403
207,338,703,319,24.430004253509146
917,1997,2351,355,23.693757549978734
501,1200,1544,304,23.024442364951085
229,393,727,280,22.35512717992344
932,2023,2351,319,21.95353806890685
666,1583,1877,238,19.677866439812846
9,1,284,254,18.941619736282433
1,1,284,247,18.941619736282433
515,1222,1503,165,18.807756699276904
692,1633,1889,182,17.134468736707785
822,1875,2122,167,16.5320850701829
265,511,754,184,16.264358996171843
64,61,302,222,16.130495959166314
5,1,238,233,15.862769885155254
466,1071,1303,202,15.52811229264143
569,1343,1573,222,15.3942492556359
653,1555,1778,199,14.925728626116546
711,1682,1902,197,14.724934070608253
908,1986,2205,187,14.658002552105488
6,1,219,157,14.591071033602722
434,987,1203,148,14.457207996597193
738,1731,1937,131,13.787892811569545
603,1412,1617,124,13.72096129306678
455,1036,1231,173,13.051646108039133
963,2103,2298,178,13.051646108039133
183,280,466,169,12.44926244151425
128,181,365,150,12.315399404508721
118,169,349,175,12.04767333049766
402,895,1070,89,11.713015737983836
585,1375,1549,129,11.646084219481072
363,797,967,119,11.378358145470013
649,1549,1718,156,11.311426626967249
751,1759,1927,159,11.244495108464484
145,197,360,81,10.90983751595066
10,1,163,132,10.842905997447895
271,534,695,85,10.77597447894513
991,2190,2351,132,10.77597447894513
494,1171,1330,160,10.642111441939601
461,1045,1204,159,10.642111441939601
400,874,1027,134,10.240522330923012
82,100,249,141,9.972796256911952
255,477,621,71,9.638138664398129
380,839,983,73,9.638138664398129
7,1,141,100,9.370412590387069
295,601,740,92,9.303481071884304
980,2153,2289,135,9.10268651637601
686,1628,1764,100,9.10268651637601
412,918,1046,129,8.567234368353892
377,837,961,99,8.299508294342832
815,1866,1990,123,8.299508294342832
16,1,125,98,8.299508294342832
382,842,964,39,8.165645257337303
750,1758,1876,31,7.897919183326245
55,56,174,50,7.897919183326245
153,209,323,51,7.630193109315186
178,259,372,105,7.56326159081242
772,1791,1903,66,7.4963300723096555
609,1432,1544,89,7.4963300723096555
683,1618,1729,66,7.429398553806891
1000,2209,2320,58,7.429398553806891
731,1715,1825,105,7.362467035304126
454,1035,1144,110,7.295535516801361
827,1882,1990,66,7.228603998298596
629,1489,1596,41,7.161672479795832
610,1440,1546,41,7.094740961293067
776,1795,1896,101,6.760083368779243
452,1026,1124,39,6.559288813270949
462,1051,1149,98,6.559288813270949
254,474,571,87,6.492357294768184
371,829,923,90,6.29156273925989
782,1816,1909,72,6.224631220757125
290,592,683,89,6.090768183751595
75,91,182,69,6.090768183751595
704,1669,1759,65,6.02383666524883
13,1,90,66,5.956905146746066
532,1272,1360,78,5.889973628243301
224,388,475,86,5.823042109740536
334,742,827,35,5.689179072735007
516,1222,1307,34,5.689179072735007
413,918,1003,41,5.689179072735007
438,993,1077,81,5.622247554232242
768,1789,1872,83,5.555316035729477
657,1573,1654,47,5.4214529987239475
647,1544,1623,36,5.287589961718417
191,301,380,75,5.287589961718417
802,1852,1930,75,5.220658443215653
818,1870,1947,72,5.153726924712888
919,2002,2078,76,5.086795406210124
62,60,136,77,5.086795406210124
122,172,248,58,5.086795406210124
215,367,442,24,5.019863887707359
495,1173,1248,28,5.019863887707359
419,937,1011,67,4.952932369204594
697,1642,1716,75,4.952932369204594
976,2145,2219,33,4.952932369204594
435,988,1060,69,4.8190693321990645
931,2023,2093,67,4.6852062951935345
83,100,168,58,4.551343258188005
399,874,941,43,4.484411739685241
952,2086,2152,47,4.417480221182475
644,1539,1605,19,4.417480221182475
630,1492,1557,19,4.350548702679711
846,1903,1968,29,4.350548702679711
734,1728,1792,64,4.283617184176946
231,407,471,43,4.283617184176946
430,973,1036,64,4.216685665674182
386,851,914,12,4.216685665674182
725,1708,1769,25,4.0828226286686515
602,1405,1466,50,4.0828226286686515
521,1230,1291,47,4.0828226286686515
291,596,655,60,3.9489595916631224
329,730,788,58,3.8820280731603574
894,1967,2024,54,3.815096554657593
147,197,254,44,3.815096554657593
12,1,58,51,3.815096554657593
303,632,688,16,3.7481650361548278
347,772,828,18,3.7481650361548278
238,437,492,11,3.681233517652063
45,43,97,23,3.614301999149298
526,1251,1305,32,3.614301999149298
14,1,55,45,3.614301999149298
996,2196,2249,26,3.5473704806465336
720,1701,1753,25,3.4804389621437686
646,1543,1594,52,3.413507443641004
313,674,725,50,3.413507443641004
270,528,578,23,3.346575925138239
158,219,267,20,3.2127128881327094
424,944,992,46,3.2127128881327094
626,1487,1534,33,3.145781369629945
736,1728,1774,47,3.0788498511271802
533,1273,1319,43,3.0788498511271802
78,97,143,46,3.0788498511271802
821,1873,1918,39,3.011918332624415
1015,2271,2316,13,3.011918332624415
11,1,45,39,2.9449868141216506
401,883,926,19,2.8780552956188856
306,640,683,39,2.8780552956188856
990,2182,2224,39,2.811123777116121
322,697,739,16,2.811123777116121
208,338,380,43,2.811123777116121
549,1299,1341,19,2.811123777116121
550,1300,1342,15,2.811123777116121
367,814,854,41,2.6772607401105915
52,54,94,26,2.6772607401105915
673,1589,1629,29,2.6772607401105915
636,1505,1544,40,2.6103292216078264
971,2129,2168,24,2.6103292216078264
830,1887,1925,35,2.543397703105062
340,753,790,15,2.476466184602297
528,1257,1294,18,2.476466184602297
8,1,37,28,2.4095346660995323
787,1821,1857,4,2.4095346660995323
18,10,46,31,2.4095346660995323
21,17,53,32,2.4095346660995323
856,1918,1953,33,2.3426031475967672
320,694,728,4,2.2756716290940027
109,160,194,21,2.2756716290940027
148,198,231,33,2.2087401105912376
44,43,76,30,2.2087401105912376
889,1944,1977,32,2.2087401105912376
332,742,775,34,2.2087401105912376
965,2110,2143,17,2.2087401105912376
209,347,379,10,2.141808592088473
136,189,220,8,2.074877073585708
216,374,405,28,2.074877073585708
68,69,99,8,2.0079455550829435
110,161,190,28,1.9410140365801787
189,296,325,2,1.9410140365801787
364,798,827,10,1.9410140365801787
72,82,110,3,1.8740825180774139
600,1395,1421,26,1.7402194810718843
370,825,850,23,1.6732879625691195
837,1899,1924,2,1.6732879625691195
450,1007,1031,2,1.6063564440663547
710,1681,1705,9,1.6063564440663547
773,1792,1816,23,1.6063564440663547
716,1693,1717,7,1.6063564440663547
98,136,160,25,1.6063564440663547
369,820,844,21,1.6063564440663547
258,484,507,3,1.5394249255635901
761,1782,1805,2,1.5394249255635901
246,450,472,10,1.4724934070608253
471,1114,1136,11,1.4724934070608253
841,1902,1924,11,1.4724934070608253
961,2097,2119,18,1.4724934070608253
200,321,341,13,1.3386303700552957
727,1709,1729,21,1.3386303700552957
983,2161,2180,4,1.271698851552531
794,1845,1864,18,1.271698851552531
71,79,97,8,1.2047673330497661
510,1217,1235,10,1.2047673330497661
279,567,585,18,1.2047673330497661
575,1362,1379,15,1.1378358145470013
679,1598,1615,15,1.1378358145470013
1010,2233,2250,12,1.1378358145470013
447,1001,1018,12,1.1378358145470013
318,685,702,4,1.1378358145470013
817,1869,1885,17,1.0709042960442365
39,36,52,17,1.0709042960442365
218,379,395,17,1.0709042960442365
680,1606,1622,17,1.0709042960442365
228,392,407,7,1.0039727775414717
790,1837,1852,14,1.0039727775414717
88,115,130,10,1.0039727775414717
718,1697,1712,15,1.0039727775414717
281,576,591,11,1.0039727775414717
937,2044,2058,13,0.9370412590387069
923,2010,2024,15,0.9370412590387069
346,767,781,8,0.9370412590387069
375,831,845,6,0.9370412590387069
608,1422,1435,14,0.8701097405359421
592,1390,1403,13,0.8701097405359421
916,1997,2010,9,0.8701097405359421
914,1991,2004,5,0.8701097405359421
543,1292,1305,9,0.8701097405359421
404,897,909,7,0.8031782220331773
15,1,13,12,0.8031782220331773
957,2092,2104,12,0.8031782220331773
703,1668,1679,11,0.7362467035304127
753,1763,1774,9,0.7362467035304127
185,286,297,12,0.7362467035304127
1025,2334,2345,12,0.7362467035304127
142,196,207,11,0.7362467035304127
962,2099,2110,9,0.7362467035304127
661,1579,1590,12,0.7362467035304127
740,1734,1744,10,0.6693151850276479
102,142,152,3,0.6693151850276479
465,1061,1070,4,0.6023836665248831
337,750,759,7,0.6023836665248831
29,25,34,10,0.6023836665248831
910,1987,1996,10,0.6023836665248831
900,1979,1988,9,0.6023836665248831
448,1006,1015,8,0.6023836665248831
190,298,306,9,0.5354521480221183
479,1136,1144,8,0.5354521480221183
193,304,312,8,0.5354521480221183
1017,2278,2286,8,0.5354521480221183
360,790,798,7,0.5354521480221183
538,1287,1295,9,0.5354521480221183
177,255,263,6,0.5354521480221183
484,1144,1151,3,0.46852062951935347
397,870,877,8,0.46852062951935347
49,48,55,6,0.46852062951935347
407,901,907,7,0.4015891110165887
489,1155,1161,7,0.4015891110165887
820,1870,1876,6,0.4015891110165887
918,1997,2003,3,0.4015891110165887
929,2022,2028,3,0.4015891110165887
997,2199,2205,6,0.4015891110165887
744,1747,1753,7,0.4015891110165887
30,27,33,4,0.4015891110165887
755,1765,1770,5,0.33465759251382393
972,2130,2135,6,0.33465759251382393
899,1974,1979,4,0.33465759251382393
324,719,724,6,0.33465759251382393
576,1367,1372,4,0.33465759251382393
390,863,868,4,0.33465759251382393
886,1944,1949,5,0.33465759251382393
967,2119,2124,4,0.33465759251382393
48,47,52,6,0.33465759251382393
943,2056,2061,4,0.33465759251382393
490,1157,1162,5,0.33465759251382393
520,1230,1234,5,0.26772607401105913
915,1996,2000,5,0.26772607401105913
743,1746,1750,5,0.26772607401105913
814,1861,1865,4,0.26772607401105913
33,32,36,5,0.26772607401105913
614,1473,1477,5,0.26772607401105913
840,1900,1904,5,0.26772607401105913
1022,2314,2317,4,0.20079455550829434
1013,2245,2248,2,0.20079455550829434
481,1139,1142,4,0.20079455550829434
164,235,238,4,0.20079455550829434
596,1392,1395,4,0.20079455550829434
810,1857,1860,4,0.20079455550829434
335,743,746,4,0.20079455550829434
788,1828,1831,4,0.20079455550829434
525,1251,1254,4,0.20079455550829434
317,685,688,2,0.20079455550829434
301,628,631,3,0.20079455550829434
199,319,321,3,0.13386303700552957
415,933,935,2,0.13386303700552957
928,2021,2023,2,0.13386303700552957
507,1215,1217,3,0.13386303700552957
170,240,242,3,0.13386303700552957
548,1296,1298,2,0.13386303700552957
292,596,598,3,0.13386303700552957
80,99,101,2,0.13386303700552957
849,1907,1909,3,0.13386303700552957
701,1663,1665,3,0.13386303700552957
277,565,567,3,0.13386303700552957
211,349,351,3,0.13386303700552957
675,1590,1592,2,0.13386303700552957
684,1624,1625,2,0.06693151850276478
676,1594,1595,2,0.06693151850276478
1019,2297,2298,2,0.06693151850276478
40,37,38,2,0.06693151850276478
651,1551,1552,2,0.06693151850276478
195,315,316,2,0.06693151850276478
714,1690,1691,2,0.06693151850276478
723,1704,1705,2,0.06693151850276478
749,1756,1757,2,0.06693151850276478
234,415,416,2,0.06693151850276478
239,438,438,1,0.0
974,2134,2134,1,0.0
811,1858,1858,1,0.0
204,331,331,1,0.0
198,317,317,1,0.0
253,473,473,1,0.0
140,195,195,1,0.0
93,124,124,1,0.0
36,34,34,1,0.0
1028,2346,2346,1,0.0
244,445,445,1,0.0
372,829,829,1,0.0
272,538,538,1,0.0
536,1284,1284,1,0.0
806,1854,1854,1,0.0
797,1846,1846,1,0.0
702,1664,1664,1,0.0
873,1936,1936,1,0.0
604,1412,1412,1,0.0
573,1354,1354,1,0.0
551,1300,1300,1,0.0
524,1236,1236,1,0.0
966,2119,2119,1,0.0
474,1120,1120,1,0.0
429,970,970,1,0.0
930,2022,2022,1,0.0
409,911,911,1,0.0
361,793,793,1,0.0
359,790,790,1,0.0
333,742,742,1,0.0
1029,2348,2348,1,0.0
